serid,Linda,Jennifer,Karen,Kimberly,Emily,Stephanie,Mark,Jacob,Kevin,Kyle,Adam,Bruce,Professor,ChildcareWorker,Police,Lawyer,SocialWorker,Electrician,Cosmetologist,Bartender,Gender,Age,Race,Education,ppincimp,ppmarit,pphhhead,pphhsize,ppt18ov,ppt1317,ppt612,ppt25,ppt01,pptsu,pptsu21,pptsu22,pptsu23,pptsu24,pptsu25,pptsu26,ppwork,pprent,pphouse,ppnet,ppreg4,age,wmid1,wgt,ppp20063,ppp20068,ppp20197,ppp20198,ppp20200,ppp20217
217021820,3,5,4,2,1,9,6,1,2,1,2,4,2,4,3,3,6,4,8,6,Female,65-69 years    (67.0),"White, Non-Hispanic",HS grad,22.5,Divorced,Your name only/Your name with someone else's name (jointly owned or rented),One,One,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,No,NorthEast,65,1.32051003,1.32051,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217015457,,,,,,,,,,,,,1,,,,,,,,Female,70-74 years    (72.0),Hispanic,Master's degree,112.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Not working - retired,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,South,73,1.508790016,1.50879,Heterosexual or straight,I have never served in the military,Yes,Naturalized U.S. citizen,Other,Israel
217018534,1,1,2,1,1,0,1,1,1,0,2,2,1,1,2,0,0,1,0,0,Male,55-59 years    (57.0),"White, Non-Hispanic","Some college, no degree","$50,000 to $59,999  (55)",Married,Your name only/Your name with someone else's name (jointly owned or rented),Four,Four,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,South,57,1.139240026,1.13924,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217035932,2,2,1,1,0,2,3,0,1,0,0,1,0,0,6,2,2,2,2,2,Male,60-64 years    (62.0),"White, Non-Hispanic",HS grad,27.5,Divorced,Your name only/Your name with someone else's name (jointly owned or rented),Three,Three,None,None,None,None,,No,No,No,No,No,No,Not working - disabled,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,West,62,0.826860011,0.82686,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217019193,1,5,4,1,4,2,2,1,2,1,1,0,20,2,1,2,0,1,0,0,Female,25-29 years    (27.0),"White, Non-Hispanic",Bachelor's degree,"$75,000 to $84,999  (80)",Never married,Your name only/Your name with someone else's name (jointly owned or rented),Three,Two,One,None,None,None,One,Yes,Yes,No,No,Yes,No,Working - as a paid employee,Rented for cash,A one-family house detached from any other house,Yes,South,28,0.639670014,0.63967,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217008327,2,3,2,2,6,2,8,1,2,1,2,1,20,1,1,2,0,1,4,0,Female,45-49 years    (47.0),"White, Non-Hispanic",Master's degree,112.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Four,Three,One,None,None,None,One,Yes,Yes,No,No,Yes,No,Not working - other,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,South,49,0.674430013,0.67443,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217010832,2,5,2,5,3,2,3,1,4,1,1,2,10,3,0,2,2,2,0,0,Male,50-54 years    (52.0),"Other, Non-Hispanic",Professional or Doctorate degree,"$175,000 or more  (175)",Married,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,NorthEast,52,1.558670044,1.55867,Heterosexual or straight,I have never served in the military,No,Not asked,Not asked, 
217032194,2,1,1,1,1,1,1,0,1,1,1,0,0,2,1,1,0,1,2,0,Female,65-69 years    (67.0),"White, Non-Hispanic","Some college, no degree",27.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Not working - retired,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,South,69,1.615869999,1.61587,Refused,Refused,Yes,Born a U.S. citizen,Not asked, 
217030622,0,1,0,1,1,1,0,0,0,0,1,0,12,0,0,0,0,0,1,0,Male,75 and over    (77.0),"White, Non-Hispanic",Professional or Doctorate degree,112.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,South,76,0.761080027,0.76108,Heterosexual or straight,"I was on active duty in the past, but not now",Yes,Born a U.S. citizen,Not asked, 
217026460,1,5,1,2,0,0,3,0,2,0,1,0,3,2,4,1,0,3,2,0,Male,45-49 years    (47.0),"White, Non-Hispanic",HS grad,"$50,000 to $59,999  (55)",Married,Your name only/Your name with someone else's name (jointly owned or rented),Three,Two,One,None,None,None,One,Yes,Yes,No,No,Yes,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,South,48,1.280369997,1.28037,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217018868,1,2,2,1,0,0,2,0,1,0,0,1,1,0,1,1,0,1,1,1,Male,65-69 years    (67.0),"White, Non-Hispanic",Bachelor's degree,"$75,000 to $84,999  (80)",Married,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Not working - retired,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,West,69,0.656979978,0.65698,Heterosexual or straight,"I was on active duty in the past, but not now",Yes,Born a U.S. citizen,Not asked, 
217007189,2,2,1,1,1,4,4,0,2,1,1,3,20,0,1,2,2,20,0,0,Male,50-54 years    (52.0),"Black, Non-Hispanic",Bachelor's degree,"$175,000 or more  (175)",Married,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,South,54,1.35800004,1.358,Heterosexual or straight,"I was on active duty in the past, but not now",Yes,Born a U.S. citizen,Not asked, 
217036263,,,,,,,,,,,,,,,,,,,,,Male,25-29 years    (27.0),"White, Non-Hispanic","Some college, no degree","$50,000 to $59,999  (55)",Never married,Someone else's name only,One,One,None,None,None,None,,No,No,No,No,No,No,Working - self-employed,Occupied without payment of cash rent,A one-family house detached from any other house,Yes,MidWest,27,0.987770021,0.98777,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217009135,2,6,5,3,5,1,2,1,1,1,2,1,0,2,0,1,1,1,5,0,Female,35-39 years    (37.0),"White, Non-Hispanic",Associate degree,67.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Six,Two,One,Two,One,None,Four,Yes,Yes,Yes,Yes,Yes,Yes,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,West,38,0.695249975,0.69525,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217027500,0,0,0,0,1,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,Female,50-54 years    (52.0),"White, Non-Hispanic",Associate degree,137.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Four,Two,Two,None,None,None,Two,Yes,Yes,No,No,Yes,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,MidWest,50,0.801729977,0.80173,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217003371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,22.5,"White, Non-Hispanic","Some college, no degree",162.5,Never married,Someone else's name only,Three,Three,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,West,23,0.935310006,0.93531,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217010135,2,0,0,3,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,Female,50-54 years    (52.0),"White, Non-Hispanic",HS grad,"$50,000 to $59,999  (55)",Never married,Your name only/Your name with someone else's name (jointly owned or rented),One,One,None,None,None,None,,No,No,No,No,No,No,Not working - looking for work,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,South,52,0.79527998,0.79528,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217019290,4,1,3,4,2,1,3,0,2,4,0,2,4,6,8,4,4,5,4,2,Female,55-59 years    (57.0),"White, Non-Hispanic",HS grad,67.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),One,One,None,None,None,None,,No,No,No,No,No,No,Working - self-employed,Owned or being bought by you or someone in your household,A one-family house attached to one or more houses,Yes,South,59,0.79527998,0.79528,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217037056,3,3,1,2,1,3,2,1,1,1,2,0,1,2,1,4,1,2,1,0,Female,40-44 years    (42.0),"White, Non-Hispanic",Bachelor's degree,"$75,000 to $84,999  (80)",Married,Your name only/Your name with someone else's name (jointly owned or rented),Three,Two,None,One,None,None,One,Yes,No,Yes,No,Yes,Yes,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,MidWest,44,0.684610009,0.68461,,,,,, 
217032277,,,,,,,1,,,,,,,,,1,,1,,,Male,60-64 years    (62.0),Hispanic,HS grad,162.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Not working - retired,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,South,63,1.548140049,1.54814,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217004141,0,0,0,1,0,0,1,0,1,0,1,0,2,2,10,2,2,0,2,0,Female,65-69 years    (67.0),"White, Non-Hispanic",Master's degree,162.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,South,69,0.855660021,0.85566,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217002815,3,2,1,1,2,1,1,2,1,1,1,2,0,4,0,1,0,0,1,0,Female,60-64 years    (62.0),"White, Non-Hispanic","Some college, no degree","$40,000 to $49,999  (45)",Married,Someone else's name only,Two,Two,None,None,None,None,,No,No,No,No,No,No,Not working - disabled,Owned or being bought by you or someone in your household,A one-family house detached from any other house,No,South,62,1.296450019,1.29645,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217010632,2,4,1,2,2,1,1,1,2,0,1,0,1,2,3,3,0,2,2,0,Female,70-74 years    (72.0),"White, Non-Hispanic",Associate degree,27.5,Divorced,Your name only/Your name with someone else's name (jointly owned or rented),One,One,None,None,None,None,,No,No,No,No,No,No,Not working - retired,Owned or being bought by you or someone in your household,A building with 2 or more apartments,No,South,72,1.296450019,1.29645,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217033542,0,1,1,0,1,1,0,1,1,2,1,0,0,0,1,0,0,1,1,0,Male,22.5,"White, Non-Hispanic","Some college, no degree",162.5,Never married,Someone else's name only,Two,Two,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,NorthEast,23,1.058419943,1.05842,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217022415,2,2,3,1,1,1,3,1,2,1,2,2,1,0,1,0,0,0,0,1,Female,50-54 years    (52.0),"Other, Non-Hispanic",Professional or Doctorate degree,92.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Four,Three,One,None,None,None,One,Yes,Yes,No,No,Yes,No,Not working - retired,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,West,51,1.110980034,1.11098,Heterosexual or straight,I have never served in the military,Yes,Naturalized U.S. citizen,India, 
217013007,2,1,1,2,1,0,1,1,2,1,1,0,0,0,0,200,0,0,1,0,Female,50-54 years    (52.0),"White, Non-Hispanic",Master's degree,"$50,000 to $59,999  (55)",Never married,Your name only/Your name with someone else's name (jointly owned or rented),One,One,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house attached to one or more houses,No,MidWest,50,0.640579998,0.64058,"Other, please specify",I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217005384,4,5,4,4,1,4,5,2,5,1,,1,1,2,0,5,,0,2,5,Female,50-54 years    (52.0),Hispanic,"Some college, no degree","$175,000 or more  (175)",Married,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house attached to one or more houses,Yes,West,53,1.368309975,1.36831,Heterosexual or straight,I have never served in the military,Yes,Naturalized U.S. citizen,Mexico, 
217027293,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,2,Male,50-54 years    (52.0),"White, Non-Hispanic",HS grad,162.5,Never married,Your name only/Your name with someone else's name (jointly owned or rented),One,One,None,None,None,None,,No,No,No,No,No,No,Not working - other,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,MidWest,54,1.1171,1.1171,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217004870,5,2,5,4,2,1,2,1,3,2,2,2,1,3,5,1,2,3,2,1,Female,45-49 years    (47.0),"2+ Races, Non-Hispanic","Some college, no degree",67.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Five,Five,None,None,None,None,,No,No,No,No,No,No,Not working - disabled,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,West,49,0.393920004,0.39392,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217009627,,2,1,,1,,,,,,,1,,1,2,,1,,2,,Female,75 and over    (77.0),"White, Non-Hispanic","Some college, no degree",32.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Not working - retired,Owned or being bought by you or someone in your household,A one-family house detached from any other house,No,South,78,1.296450019,1.29645,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217030450,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Female,55-59 years    (57.0),"White, Non-Hispanic",HS grad,22.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Five,Four,None,One,None,None,One,Yes,No,Yes,No,Yes,Yes,Not working - disabled,Rented for cash,A one-family house detached from any other house,Yes,West,59,0.882790029,0.88279,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217019626,1,2,4,1,2,2,2,0,2,0,0,1,1,0,0,1,1,0,3,0,Female,55-59 years    (57.0),"White, Non-Hispanic",HS grad,92.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Four,Four,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,MidWest,58,0.693870008,0.69387,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217029641,2,4,4,5,2,2,2,1,4,1,2,3,2,3,10,2,0,2,6,0,Male,70-74 years    (72.0),"White, Non-Hispanic",Associate degree,137.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Not working - retired,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,West,72,0.875689983,0.87569,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217007909,2,1,1,1,0,1,3,0,1,2,0,1,0,0,1,0,0,3,2,1,Male,55-59 years    (57.0),"White, Non-Hispanic",HS grad,22.5,Divorced,Your name only/Your name with someone else's name (jointly owned or rented),One,One,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Rented for cash,A building with 2 or more apartments,Yes,West,55,1.094470024,1.09447,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217024079,1,2,1,0,0,0,3,0,1,0,0,1,1,1,1,0,0,1,0,1,Male,70-74 years    (72.0),"White, Non-Hispanic","Some college, no degree",22.5,Never married,Your name only/Your name with someone else's name (jointly owned or rented),One,One,None,None,None,None,,No,No,No,No,No,No,Not working - retired,Owned or being bought by you or someone in your household,A one-family house attached to one or more houses,Yes,MidWest,71,1.189229965,1.18923,Bisexual,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217024692,1,1,0,1,1,1,1,1,1,1,1,0,10,4,1,0,0,2,2,3,Female,22.5,"White, Non-Hispanic",Associate degree,112.5,Never married,Someone else's name only,Three,Three,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Rented for cash,A one-family house detached from any other house,Yes,MidWest,23,0.987450004,0.98745,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217003223,2,3,2,2,0,2,2,1,2,1,1,2,,3,2,,2,,1,1,Female,25-29 years    (27.0),"White, Non-Hispanic",Bachelor's degree,"$75,000 to $84,999  (80)",Never married,Someone else's name only,Five,Five,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,NorthEast,29,0.624849975,0.62485,Bisexual,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217028931,1,1,1,0,1,2,3,1,0,1,1,2,0,1,1,1,0,0,0,0,Female,45-49 years    (47.0),"Black, Non-Hispanic",Master's degree,37.5,Never married,Your name only/Your name with someone else's name (jointly owned or rented),One,One,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Rented for cash,A building with 2 or more apartments,Yes,NorthEast,48,1.167359948,1.16736,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217035294,3,2,2,3,5,3,3,1,6,4,5,1,0,0,0,2,0,0,0,2,Male,22.5,"White, Non-Hispanic","Some college, no degree",67.5,Never married,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Not working - looking for work,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,West,22,0.956070006,0.95607,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217030096,2,1,1,0,0,2,0,1,2,1,1,0,1,1,2,3,2,0,2,2,Female,25-29 years    (27.0),"White, Non-Hispanic",Bachelor's degree,67.5,Never married,Someone else's name only,Two,Two,None,None,None,None,,No,No,No,No,No,No,Working - self-employed,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,MidWest,25,0.583140016,0.58314,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217031032,1,1,1,1,0,1,2,0,1,1,1,1,2,1,1,1,1,1,0,1,Female,45-49 years    (47.0),"White, Non-Hispanic",Bachelor's degree,112.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,NorthEast,48,0.658810019,0.65881,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217003090,1,,,,,,,,,,,,1,0,2,0,1,1,1,0,Male,35-39 years    (37.0),"Black, Non-Hispanic",HS grad,"$40,000 to $49,999  (45)",Divorced,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Rented for cash,A one-family house attached to one or more houses,Yes,West,35,1.15478003,1.15478,Heterosexual or straight,"I was on active duty in the past, but not now",Yes,Born a U.S. citizen,Not asked, 
217026338,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Male,25-29 years    (27.0),"White, Non-Hispanic",HS grad,67.5,Never married,Your name only/Your name with someone else's name (jointly owned or rented),Six,Five,None,One,None,None,One,Yes,No,Yes,No,Yes,Yes,Working - as a paid employee,Rented for cash,A building with 2 or more apartments,Yes,West,28,0.827440023,0.82744,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217005067,5,2,3,6,2,4,2,1,1,1,2,1,6,5,11,12,2,5,4,0,Male,30-34 years    (32.0),"White, Non-Hispanic",Bachelor's degree,112.5,Separated,Your name only/Your name with someone else's name (jointly owned or rented),Three,Two,None,None,None,One,One,Yes,No,No,Yes,No,Yes,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,South,31,0.654449999,0.65445,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217002159,,,,,,1,1,,,,,,8,,,,,,,,Male,35-39 years    (37.0),"Black, Non-Hispanic",Bachelor's degree,27.5,Never married,Someone else's name only,Two,Two,None,None,None,None,,No,No,No,No,No,No,Not working - other,Rented for cash,A building with 2 or more apartments,Yes,MidWest,39,1.03421998,1.03422,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217032410,3,4,4,3,0,0,6,1,5,1,0,1,6,2,2,0,0,1,2,1,Female,40-44 years    (42.0),"White, Non-Hispanic",Bachelor's degree,67.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Four,Two,None,One,One,None,Two,Yes,No,Yes,Yes,Yes,Yes,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,South,44,0.604250014,0.60425,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217009831,3,3,0,2,1,2,2,1,0,1,0,1,1,3,1,1,0,,1,,Female,50-54 years    (52.0),"White, Non-Hispanic","Some college, no degree",162.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,West,51,0.776000023,0.776,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217015575,,,,,,,,,,,,,,,,,,,,,Male,45-49 years    (47.0),"Other, Non-Hispanic",Master's degree,"$50,000 to $59,999  (55)",Married,Your name only/Your name with someone else's name (jointly owned or rented),One,One,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,No,South,46,1.699349999,1.69935,Heterosexual or straight,I am now on active duty,No,Not asked,Not asked, 
